0,1,2,4
ZBTB21,ENSG00000173276,ENST00000310826,1
CELF4,ENSG00000101489,ENST00000420428,1
DYRK1A,ENSG00000157540,ENST00000647188,1
KCNB1,ENSG00000158445,ENST00000371741,1
DSCAM,ENSG00000171587,ENST00000400454,1
PRR14L,ENSG00000183530,ENST00000327423,1
NLGN4X,ENSG00000146938,ENST00000381095,1
DPYSL2,ENSG00000092964,ENST00000521913,1
NBEA,ENSG00000172915,ENST00000379939,1
PTCHD1,ENSG00000165186,ENST00000379361,1
PAX5,ENSG00000196092,ENST00000358127,1
CDKL5,ENSG00000008086,ENST00000623535,1
MYCBP2,ENSG00000005810,ENST00000544440,1
TCF4,ENSG00000196628,ENST00000354452,1
MKX,ENSG00000150051,ENST00000419761,1
NUP155,ENSG00000113569,ENST00000231498,1
DIP2A,ENSG00000160305,ENST00000417564,1
CREBBP,ENSG00000005339,ENST00000262367,1
CHAMP1,ENSG00000198824,ENST00000361283,1
CSNK2A1,ENSG00000101266,ENST00000217244,1
AFF2,ENSG00000155966,ENST00000370460,1
SON,ENSG00000159140,ENST00000356577,1
SYN1,ENSG00000008056,ENST00000295987,1
NIPBL,ENSG00000164190,ENST00000282516,1
RORB,ENSG00000198963,ENST00000376896,1
BRSK2,ENSG00000174672,ENST00000528841,1
EHMT1,ENSG00000181090,ENST00000460843,1
MSL3,ENSG00000005302,ENST00000312196,1
TBCK,ENSG00000145348,ENST00000394708,1
TRIM23,ENSG00000113595,ENST00000231524,1
LRRC4C,ENSG00000148948,ENST00000528697,1
ADSL,ENSG00000239900,ENST00000623063,1
HNRNPH2,ENSG00000126945,ENST00000316594,1
NEXMIF,ENSG00000050030,ENST00000055682,1
TCF20,ENSG00000100207,ENST00000677622,1
SETBP1,ENSG00000152217,ENST00000649279,1
ATRX,ENSG00000085224,ENST00000373344,1
BCKDK,ENSG00000103507,ENST00000219794,1
TEK,ENSG00000120156,ENST00000380036,1
ZNF462,ENSG00000148143,ENST00000277225,1
TSHZ3,ENSG00000121297,ENST00000240587,1
NR3C2,ENSG00000151623,ENST00000358102,1
SLC9A6,ENSG00000198689,ENST00000630721,1
RALGAPB,ENSG00000170471,ENST00000262879,1
CHD8,ENSG00000100888,ENST00000646647,1
ARX,ENSG00000004848,ENST00000379044,1
PHF3,ENSG00000118482,ENST00000262043,1
KATNAL2,ENSG00000167216,ENST00000683218,1
ARHGEF9,ENSG00000131089,ENST00000671741,1
ALDH5A1,ENSG00000112294,ENST00000357578,1
UBE3A,ENSG00000114062,ENST00000648336,1
ASXL3,ENSG00000141431,ENST00000269197,1
UBR1,ENSG00000159459,ENST00000290650,1
CASZ1,ENSG00000130940,ENST00000377022,1
SHANK3,ENSG00000251322,ENST00000262795,1
PPP2R5D,ENSG00000112640,ENST00000485511,1
NRXN3,ENSG00000021645,ENST00000335750,1
BCL11A,ENSG00000119866,ENST00000642384,1
PTK7,ENSG00000112655,ENST00000230419,1
ZMYND8,ENSG00000101040,ENST00000471951,1
GNAI1,ENSG00000127955,ENST00000649796,1
TSHZ1,ENSG00000179981,ENST00000580243,1
LDB1,ENSG00000198728,ENST00000673968,1
SOS2,ENSG00000100485,ENST00000216373,1
TM9SF4,ENSG00000101337,ENST00000398022,1
PAH,ENSG00000171759,ENST00000553106,1
LZTR1,ENSG00000099949,ENST00000646124,1
MAGEL2,ENSG00000254585,ENST00000650528,1
KDM5C,ENSG00000126012,ENST00000375401,1
EP300,ENSG00000100393,ENST00000263253,1
DYNC1H1,ENSG00000197102,ENST00000360184,1
ADNP,ENSG00000101126,ENST00000621696,1
FMR1,ENSG00000102081,ENST00000370475,1
NLGN2,ENSG00000169992,ENST00000302926,1
NLGN3,ENSG00000196338,ENST00000358741,1
TBR1,ENSG00000136535,ENST00000389554,1
EIF3G,ENSG00000130811,ENST00000253108,1
EBF3,ENSG00000108001,ENST00000440978,1
GABRB2,ENSG00000145864,ENST00000393959,1
PACS1,ENSG00000175115,ENST00000320580,1
VPS13B,ENSG00000132549,ENST00000357162,1
IRF2BPL,ENSG00000119669,ENST00000238647,1
ACTB,ENSG00000075624,ENST00000646664,1
RFX3,ENSG00000080298,ENST00000617270,1
ELAVL3,ENSG00000196361,ENST00000359227,1
VEZF1,ENSG00000136451,ENST00000581208,1
ARF3,ENSG00000134287,ENST00000256682,1
UPF3B,ENSG00000125351,ENST00000276201,1
CASK,ENSG00000147044,ENST00000378163,1
SRPRA,ENSG00000182934,ENST00000332118,1
SYNGAP1,ENSG00000197283,ENST00000646630,1
TLE3,ENSG00000140332,ENST00000451782,1
GIGYF1,ENSG00000146830,ENST00000678049,1
GRIN2A,ENSG00000183454,ENST00000330684,1
MECP2,ENSG00000169057,ENST00000453960,1
PSMD6,ENSG00000163636,ENST00000295901,1
PHF2,ENSG00000197724,ENST00000359246,1
KLHL20,ENSG00000076321,ENST00000209884,1
RELN,ENSG00000189056,ENST00000428762,1
KIAA0232,ENSG00000170871,ENST00000307659,1
MED13L,ENSG00000123066,ENST00000281928,1
USP9X,ENSG00000124486,ENST00000378308,1
KMT2C,ENSG00000055609,ENST00000262189,1
CACNA1A,ENSG00000141837,ENST00000360228,1
CHD7,ENSG00000171316,ENST00000423902,1
KANSL1,ENSG00000120071,ENST00000432791,1
TCF7L2,ENSG00000148737,ENST00000355995,1
CPSF7,ENSG00000149532,ENST00000439958,1
DDX3X,ENSG00000215301,ENST00000644876,1
MBD5,ENSG00000204406,ENST00000642680,1
KDM6B,ENSG00000132510,ENST00000448097,1
IQSEC2,ENSG00000124313,ENST00000642864,1
SIN3A,ENSG00000169375,ENST00000394947,1
ANP32A,ENSG00000140350,ENST00000465139,1
SMARCA2,ENSG00000080503,ENST00000349721,1
MBOAT7,ENSG00000125505,ENST00000245615,1
PCDH19,ENSG00000165194,ENST00000373034,1
YY1,ENSG00000100811,ENST00000262238,1
ANKRD11,ENSG00000167522,ENST00000301030,1
ANK3,ENSG00000151150,ENST00000280772,1
FOXG1,ENSG00000176165,ENST00000313071,1
MEIS2,ENSG00000134138,ENST00000561208,1
STXBP1,ENSG00000136854,ENST00000373299,1
CHD2,ENSG00000173575,ENST00000394196,1
GABRB3,ENSG00000166206,ENST00000311550,1
PPP1R9B,ENSG00000108819,ENST00000612501,1
WAC,ENSG00000095787,ENST00000354911,1
CIC,ENSG00000079432,ENST00000681038,1
DMPK,ENSG00000104936,ENST00000291270,1
RUNX1T1,ENSG00000079102,ENST00000436581,1
ABCE1,ENSG00000164163,ENST00000296577,1
TLK2,ENSG00000146872,ENST00000346027,1
MAP1A,ENSG00000166963,ENST00000300231,1
KCNQ3,ENSG00000184156,ENST00000388996,1
GRIN1,ENSG00000176884,ENST00000371561,1
RIMS1,ENSG00000079841,ENST00000521978,1
PHF12,ENSG00000109118,ENST00000332830,1
CTCF,ENSG00000102974,ENST00000264010,1
DLG4,ENSG00000132535,ENST00000399506,1
CORO1A,ENSG00000102879,ENST00000219150,1
